Datum,Umsatz,Bewoelkung,Temperatur,Windgeschwindigkeit,Wettercode,KielerWoche,holiday,Easter,YearMonth
2013-07-31,1560.649380745598,5.0,20.275,16.0,65.0,0,1,0,2013-07
2013-08-01,1512.7538168934125,6.0,23.4,7.0,21.0,0,1,0,2013-08
2013-08-02,1537.074863033557,0.0,31.4375,7.0,,0,1,0,2013-08
2013-08-03,2022.0929783769382,4.0,23.3625,11.0,63.0,0,1,0,2013-08
2013-08-04,1879.1788638421608,3.0,23.05,8.0,,0,0,0,2013-08
2013-08-05,1353.5850885584,0.0,25.8,10.0,,0,0,0,2013-08
2013-08-06,1486.208899835055,5.0,22.225,13.0,,0,0,0,2013-08
2013-08-07,1528.2338963920583,4.0,19.2125,8.0,,0,0,0,2013-08
2013-08-08,1499.007507138282,7.0,16.975,12.0,20.0,0,0,0,2013-08
2013-08-09,1525.3931909835096,4.0,20.3375,10.0,21.0,0,0,0,2013-08
2013-08-10,1662.2804720349804,7.0,19.3625,12.0,61.0,0,0,0,2013-08
2013-08-11,1725.3536746947912,7.0,16.3875,9.0,61.0,0,0,0,2013-08
2013-08-12,1371.9141698482772,7.0,16.45,11.0,63.0,0,0,0,2013-08
2013-08-13,1399.566054030156,3.0,16.4,16.0,95.0,0,0,0,2013-08
2013-08-14,1533.033368518948,4.0,18.2625,18.0,61.0,0,0,0,2013-08
2013-08-15,1445.936606987924,3.0,19.8,8.0,,0,0,0,2013-08
2013-08-16,1361.4457786798198,4.0,23.575,11.0,0.0,0,0,0,2013-08
2013-08-17,1701.8221409441326,6.0,20.55,7.0,0.0,0,0,0,2013-08
2013-08-18,1673.897714730906,7.0,18.5875,10.0,63.0,0,0,0,2013-08
2013-08-19,1376.837922891106,5.0,18.4875,8.0,,0,0,0,2013-08
2013-08-20,1252.7861094515642,7.0,17.775,8.0,61.0,0,0,0,2013-08
2013-08-21,1255.9019374005727,5.0,20.125,8.0,,0,0,0,2013-08
2013-08-22,1314.464436931448,4.0,21.6625,8.0,,0,0,0,2013-08
2013-08-23,1397.1021019374625,1.0,22.0375,14.0,,0,0,0,2013-08
2013-08-24,1852.823512770426,0.0,20.85,16.0,5.0,0,0,0,2013-08
2013-08-25,1806.35854658638,0.0,21.3875,16.0,5.0,0,0,0,2013-08
2013-08-26,1335.476770356454,0.0,20.125,15.0,5.0,0,0,0,2013-08
2013-08-27,1206.9568569172761,1.0,21.0875,12.0,,0,0,0,2013-08
2013-08-28,1189.9601463547679,0.0,21.3,7.0,,0,0,0,2013-08
2013-08-29,1226.9744435244093,3.0,20.2125,11.0,,0,0,0,2013-08
2013-08-30,1230.8254219210733,6.0,19.7875,8.0,5.0,0,0,0,2013-08
2013-08-31,1407.8270071434235,5.0,18.35,16.0,21.0,0,0,0,2013-08
2013-09-01,1357.25258961663,7.0,15.8625,16.0,61.0,0,0,0,2013-09
2013-09-02,987.9570966616532,7.0,16.575,17.0,63.0,0,0,0,2013-09
2013-09-03,1007.9367383256798,7.0,18.225,11.0,21.0,0,0,0,2013-09
2013-09-04,1036.3492750385099,7.0,18.125,5.0,,0,0,0,2013-09
2013-09-05,1104.1439817470637,0.0,21.7,8.0,,0,0,0,2013-09
2013-09-06,1137.1523677303987,0.0,24.7,9.0,,0,0,0,2013-09
2013-09-07,1505.9011969610501,6.0,22.7625,7.0,,0,0,0,2013-09
2013-09-08,1496.3184718677348,7.0,20.1625,8.0,61.0,0,0,0,2013-09
2013-09-09,1002.2125915332035,8.0,11.575,11.0,63.0,0,0,0,2013-09
2013-09-10,987.4006905061897,6.0,13.5875,11.0,65.0,0,0,0,2013-09
2013-09-11,961.6294394395425,6.0,13.9,8.0,61.0,0,0,0,2013-09
2013-09-12,960.9185525439016,6.0,16.1125,6.0,61.0,0,0,0,2013-09
2013-09-13,1044.4131932524783,6.0,17.4375,5.0,21.0,0,0,0,2013-09
2013-09-14,1388.0032063371368,5.0,17.625,10.0,63.0,0,0,0,2013-09
2013-09-15,1268.8126467225404,7.0,14.8625,10.0,21.0,0,0,0,2013-09
2013-09-16,960.0831498039095,3.0,13.1375,13.0,21.0,0,0,0,2013-09
2013-09-17,987.3440321601655,5.0,13.1375,10.0,63.0,0,0,0,2013-09
2013-09-18,958.5633732228488,4.0,13.05,9.0,,0,0,0,2013-09
2013-09-19,995.0860624572204,5.0,14.8375,11.0,63.0,0,0,0,2013-09
2013-09-20,1070.2218759478337,7.0,13.525,6.0,,0,0,0,2013-09
2013-09-21,1299.6943900674814,7.0,15.35,9.0,,0,0,0,2013-09
2013-09-22,1344.3393186626458,6.0,17.1375,14.0,21.0,0,0,0,2013-09
2013-09-23,932.4657789829656,7.0,17.3125,14.0,21.0,0,0,0,2013-09
2013-09-24,914.6742223348679,8.0,15.7375,10.0,,0,0,0,2013-09
2013-09-25,966.9209453477747,6.0,13.5375,7.0,61.0,0,0,0,2013-09
2013-09-26,1004.2437101233693,1.0,12.9875,12.0,,0,0,0,2013-09
2013-09-27,952.7399318195729,5.0,13.0125,8.0,21.0,0,0,0,2013-09
2013-09-28,1350.0529134563583,0.0,13.1,8.0,,0,0,0,2013-09
2013-09-29,1220.5425667105287,3.0,14.175,12.0,,0,0,0,2013-09
2013-09-30,1088.6628318742476,1.0,12.825,14.0,,0,0,0,2013-09
2013-10-01,1035.0741960123707,0.0,12.9125,13.0,5.0,0,0,0,2013-10
2013-10-02,1219.5683746591899,1.0,12.7,10.0,,0,0,0,2013-10
2013-10-03,1449.987021613767,0.0,11.7625,12.0,5.0,0,0,0,2013-10
2013-10-04,1192.034068278957,5.0,11.2,8.0,63.0,0,1,0,2013-10
2013-10-05,1303.8838669989625,7.0,15.575,8.0,20.0,0,1,0,2013-10
2013-10-06,1323.0779850281535,7.0,15.25,6.0,,0,1,0,2013-10
2013-10-07,1032.7783396125972,1.0,16.275,7.0,,0,1,0,2013-10
2013-10-08,920.066699108027,6.0,15.1125,8.0,61.0,0,1,0,2013-10
2013-10-09,1035.1309532188438,7.0,14.3125,10.0,21.0,0,1,0,2013-10
2013-10-10,963.0647997754841,5.0,10.975,6.0,,0,1,0,2013-10
2013-10-11,942.7444736561224,7.0,13.8625,20.0,10.0,0,1,0,2013-10
2013-10-12,1129.137465971895,8.0,13.025,21.0,63.0,0,1,0,2013-10
2013-10-13,1080.0464069199502,5.0,10.8625,5.0,,0,1,0,2013-10
2013-10-14,916.6677541944355,2.0,12.525,6.0,,0,1,0,2013-10
2013-10-15,925.6010830449741,7.0,10.6625,4.0,63.0,0,1,0,2013-10
2013-10-16,994.0460487740608,8.0,12.275,7.0,,0,1,0,2013-10
2013-10-17,883.4950863629008,7.0,12.0,15.0,65.0,0,1,0,2013-10
2013-10-18,947.0985668945707,1.0,9.075,9.0,,0,1,0,2013-10
2013-10-19,1062.920368941858,7.0,9.45,9.0,,0,0,0,2013-10
2013-10-20,1046.0775401777223,7.0,15.1875,8.0,21.0,0,0,0,2013-10
2013-10-21,852.7855280984027,7.0,14.2625,8.0,61.0,0,0,0,2013-10
2013-10-22,956.7944758371692,2.0,17.6375,7.0,,0,0,0,2013-10
2013-10-23,958.0694758951811,6.0,17.675,9.0,,0,0,0,2013-10
2013-10-24,1010.5301005647036,5.0,12.6875,12.0,61.0,0,0,0,2013-10
2013-10-25,954.728693015921,7.0,11.8875,7.0,61.0,0,0,0,2013-10
2013-10-26,1096.52536822654,5.0,16.775,10.0,21.0,0,0,0,2013-10
2013-10-27,1338.5660394232696,6.0,14.9875,16.0,65.0,0,0,0,2013-10
2013-10-28,892.4579467371375,7.0,14.3625,29.0,63.0,0,0,0,2013-10
2013-10-29,908.4558109135112,7.0,10.775,17.0,63.0,0,0,0,2013-10
2013-10-30,949.363875393326,6.0,10.4375,10.0,61.0,0,0,0,2013-10
2013-10-31,907.3349873198138,5.0,11.1625,13.0,21.0,0,0,0,2013-10
2013-11-01,981.1139083756339,8.0,10.625,9.0,63.0,0,0,0,2013-11
2013-11-02,1135.3666026291821,8.0,8.8875,3.0,63.0,0,0,0,2013-11
2013-11-03,1230.6719729027002,6.0,10.7,15.0,21.0,0,0,0,2013-11
2013-11-04,795.8737550545254,7.0,6.8375,7.0,63.0,0,0,0,2013-11
2013-11-05,760.4139695310951,4.0,8.9,12.0,61.0,0,0,0,2013-11
2013-11-06,769.7231345732437,4.0,8.1375,12.0,63.0,0,0,0,2013-11
2013-11-07,861.0836019909106,6.0,9.5,10.0,61.0,0,0,0,2013-11
2013-11-08,833.2698709309387,3.0,9.325,9.0,,0,0,0,2013-11
2013-11-09,962.8616330472177,5.0,7.7,16.0,63.0,0,0,0,2013-11
2013-11-10,1409.0380374543874,2.0,6.9875,12.0,63.0,0,0,0,2013-11
2013-11-11,903.8668604768619,2.0,8.3125,5.0,,0,0,0,2013-11
2013-11-12,763.3610872842311,7.0,5.9375,9.0,61.0,0,0,0,2013-11
2013-11-13,825.5585489224966,1.0,8.8,12.0,0.0,0,0,0,2013-11
2013-11-14,755.1135071147107,5.0,6.9375,9.0,21.0,0,0,0,2013-11
2013-11-15,800.9993416700266,7.0,6.45,6.0,21.0,0,0,0,2013-11
2013-11-16,1035.8242847575434,8.0,8.875,12.0,,0,0,0,2013-11
2013-11-17,1528.5392931551794,2.0,8.8875,8.0,0.0,0,0,0,2013-11
2013-11-18,817.6433355742591,7.0,6.65,5.0,63.0,0,0,0,2013-11
2013-11-19,738.1047996267854,8.0,5.8375,8.0,61.0,0,0,0,2013-11
2013-11-20,813.9534644921199,6.0,3.85,6.0,,0,0,0,2013-11
2013-11-21,853.6506709062544,2.0,3.275,8.0,10.0,0,0,0,2013-11
2013-11-22,816.9537254202986,7.0,5.375,10.0,21.0,0,0,0,2013-11
2013-11-23,1004.4821948614315,3.0,4.9125,6.0,,0,0,0,2013-11
2013-11-24,1532.0185932964766,0.0,4.6,16.0,,0,0,0,2013-11
2013-11-25,873.9824105913707,0.0,3.7,10.0,,0,0,0,2013-11
2013-11-26,887.563369601944,2.0,2.3125,6.0,,0,0,0,2013-11
2013-11-27,755.2323235187655,8.0,7.3125,12.0,61.0,0,0,0,2013-11
2013-11-28,896.0903312530888,2.0,8.025,18.0,,0,0,0,2013-11
2013-11-29,832.8768609444601,8.0,5.9875,11.0,63.0,0,0,0,2013-11
2013-11-30,910.7939809397319,7.0,5.525,10.0,20.0,0,0,0,2013-11
2013-12-01,1280.6953149356827,5.0,8.6625,20.0,61.0,0,0,0,2013-12
2013-12-02,861.9942448230777,0.0,3.0625,4.0,10.0,0,0,0,2013-12
2013-12-03,777.794427646608,8.0,1.7125,6.0,28.0,0,0,0,2013-12
2013-12-04,843.1505129355406,7.0,5.85,11.0,63.0,0,0,0,2013-12
2013-12-05,890.2682948417541,7.0,4.4625,24.0,63.0,0,0,0,2013-12
2013-12-06,790.0316140123776,6.0,1.7875,25.0,73.0,0,0,0,2013-12
2013-12-07,904.9413612856545,5.0,1.0,11.0,22.0,0,0,0,2013-12
2013-12-08,1062.6841144632506,8.0,6.975,16.0,63.0,0,0,0,2013-12
2013-12-09,786.1899470100659,7.0,9.2375,10.0,45.0,0,0,0,2013-12
2013-12-10,752.5261338572203,7.0,7.1875,8.0,61.0,0,0,0,2013-12
2013-12-11,663.9436088703742,7.0,5.025,9.0,10.0,0,0,0,2013-12
2013-12-12,782.2123669475939,8.0,2.525,8.0,28.0,0,0,0,2013-12
2013-12-13,638.2887921715168,7.0,3.5375,6.0,61.0,0,0,0,2013-12
2013-12-14,849.1494194115802,7.0,3.0125,7.0,61.0,0,0,0,2013-12
2013-12-15,1253.8341768342807,8.0,7.925,12.0,61.0,0,0,0,2013-12
2013-12-16,666.2557154992016,8.0,8.775,12.0,,0,0,0,2013-12
2013-12-17,729.9862989893425,8.0,4.95,8.0,61.0,0,0,0,2013-12
2013-12-18,741.387061469087,7.0,6.85,8.0,10.0,0,0,0,2013-12
2013-12-19,777.3476925918459,7.0,7.4,10.0,63.0,0,0,0,2013-12
2013-12-20,803.3698722612262,7.0,5.2875,10.0,61.0,0,0,0,2013-12
2013-12-21,952.706372374962,8.0,6.5625,13.0,63.0,0,0,0,2013-12
2013-12-22,1100.0715602336995,7.0,8.1375,12.0,61.0,0,0,0,2013-12
2013-12-23,1135.3498051849904,3.0,5.4875,10.0,,0,1,0,2013-12
2013-12-24,1196.1039805684811,7.0,11.4375,18.0,61.0,0,1,0,2013-12
2013-12-27,1046.5050905217483,7.0,5.7625,15.0,63.0,0,1,0,2013-12
2013-12-29,1325.6055115941328,7.0,5.7125,9.0,63.0,0,1,0,2013-12
2013-12-30,1304.5518123662262,4.0,4.75,11.0,10.0,0,1,0,2013-12
2013-12-31,2615.411465998202,4.0,5.0375,7.0,,0,1,0,2013-12
2014-01-02,1109.768357865197,7.0,6.25,9.0,63.0,0,1,0,2014-01
2014-01-03,954.1766594477392,7.0,6.8375,10.0,63.0,0,1,0,2014-01
2014-01-04,1067.970002269235,5.0,6.9375,11.0,,0,1,0,2014-01
2014-01-05,1144.0151004741842,7.0,6.1875,11.0,63.0,0,1,0,2014-01
2014-01-06,895.3691186296448,7.0,7.9125,11.0,65.0,0,1,0,2014-01
2014-01-07,847.8436767971933,7.0,10.4375,13.0,,0,0,0,2014-01
2014-01-08,777.4072171279016,7.0,8.6375,15.0,63.0,0,0,0,2014-01
2014-01-09,781.6807188819216,7.0,9.6125,16.0,61.0,0,0,0,2014-01
2014-01-10,782.8674244551742,7.0,6.6375,17.0,61.0,0,0,0,2014-01
2014-01-11,959.8012135015724,7.0,5.5875,18.0,63.0,0,0,0,2014-01
2014-01-12,1340.7548880041472,2.0,5.525,16.0,21.0,0,0,0,2014-01
2014-01-13,741.4495026597153,8.0,3.1375,10.0,69.0,0,0,0,2014-01
2014-01-14,936.5213857499343,6.0,4.225,6.0,28.0,0,0,0,2014-01
2014-01-15,830.7377230019596,7.0,3.228571,7.0,28.0,0,0,0,2014-01
2014-01-16,770.0172241686898,8.0,2.7375,9.0,63.0,0,0,0,2014-01
2014-01-17,747.6715306350366,7.0,6.7375,4.0,61.0,0,0,0,2014-01
2014-01-18,944.1617442557983,7.0,5.8875,8.0,61.0,0,0,0,2014-01
2014-01-19,1220.7024878319878,7.0,2.8625,19.0,10.0,0,0,0,2014-01
2014-01-20,759.801997745881,8.0,0.3875,13.0,61.0,0,0,0,2014-01
2014-01-21,763.6102926834246,7.0,-0.65,7.0,77.0,0,0,0,2014-01
2014-01-22,753.2215259926763,8.0,-3.1125,14.0,22.0,0,0,0,2014-01
2014-01-23,782.8592752846621,8.0,-3.1875,11.0,22.0,0,0,0,2014-01
2014-01-24,838.307380749211,2.0,-5.1625,13.0,10.0,0,0,0,2014-01
2014-01-25,1008.6817290177335,5.0,-7.0375,8.0,,0,0,0,2014-01
2014-01-26,1266.7093130913943,1.0,-8.475,10.0,10.0,0,0,0,2014-01
2014-01-27,771.1300095229415,5.0,0.7,9.0,69.0,0,0,0,2014-01
2014-01-28,746.7602622622551,7.0,-0.2625,10.0,10.0,0,0,0,2014-01
2014-01-29,667.3154208773776,7.0,-5.05,13.0,77.0,0,0,0,2014-01
2014-01-30,825.8107980059964,7.0,-4.4875,8.0,77.0,0,0,0,2014-01
2014-01-31,854.155243834605,8.0,-3.6875,7.0,10.0,0,0,0,2014-01
2014-02-01,975.637960343788,7.0,3.225,10.0,63.0,0,0,0,2014-02
2014-02-02,1509.8415657624632,0.0,5.4875,8.0,,0,0,0,2014-02
2014-02-03,1016.9616428978118,1.0,3.475,8.0,10.0,0,0,0,2014-02
2014-02-04,859.734163151601,5.0,3.925,6.0,10.0,0,0,0,2014-02
2014-02-05,942.007951768995,4.0,3.675,8.0,10.0,0,0,0,2014-02
2014-02-06,865.1264800892702,7.0,7.875,11.0,20.0,0,0,0,2014-02
2014-02-07,809.3276702842346,7.0,8.475,15.0,63.0,0,0,0,2014-02
2014-02-08,1173.552493724504,7.0,6.2875,12.0,61.0,0,0,0,2014-02
2014-02-09,1516.4584454543453,5.0,6.7125,15.0,63.0,0,0,0,2014-02
2014-02-10,902.6904266306271,2.0,6.6375,9.0,,0,0,0,2014-02
2014-02-11,873.2750269820312,7.0,4.925,12.0,61.0,0,0,0,2014-02
2014-02-12,878.9593947816298,4.0,6.1,13.0,10.0,0,0,0,2014-02
2014-02-13,978.778082866471,5.0,7.45,13.0,,0,0,0,2014-02
2014-02-14,1031.6013056731867,5.0,5.2125,9.0,10.0,0,0,0,2014-02
2014-02-15,1288.433705630126,5.0,11.5,15.0,,0,0,0,2014-02
2014-02-16,1569.4396743696482,7.0,6.0625,17.0,63.0,0,0,0,2014-02
2014-02-17,958.049885632887,0.0,6.6875,9.0,,0,0,0,2014-02
2014-02-18,878.808137373197,7.0,7.8,8.0,10.0,0,0,0,2014-02
2014-02-19,858.0510266162246,7.0,6.325,8.0,61.0,0,0,0,2014-02
2014-02-20,960.3537065468499,6.0,9.1,11.0,10.0,0,0,0,2014-02
2014-02-21,1070.9307865187961,7.0,7.5125,11.0,61.0,0,0,0,2014-02
2014-02-22,1197.528262769981,7.0,5.925,11.0,21.0,0,0,0,2014-02
2014-02-23,1809.3455146386827,1.0,8.625,12.0,,0,0,0,2014-02
2014-02-24,856.1532814509101,1.0,9.4125,11.0,,0,0,0,2014-02
2014-02-25,825.7675854817389,1.0,10.475,7.0,,0,0,0,2014-02
2014-02-26,870.6899982675251,5.0,10.1875,8.0,,0,0,0,2014-02
2014-02-27,916.2552833928478,1.0,8.8875,7.0,10.0,0,0,0,2014-02
2014-02-28,899.268724082196,7.0,6.1875,6.0,61.0,0,0,0,2014-02
2014-03-01,1268.6885449098131,2.0,5.075,9.0,10.0,0,0,0,2014-03
2014-03-02,1337.7904860961848,6.0,6.5625,9.0,10.0,0,0,0,2014-03
2014-03-03,988.2635790463731,0.0,9.1875,10.0,5.0,0,0,0,2014-03
2014-03-04,871.3438158130646,7.0,6.6875,7.0,10.0,0,0,0,2014-03
2014-03-05,852.917075026495,7.0,4.6875,7.0,28.0,0,0,0,2014-03
2014-03-06,871.9140449465931,3.0,8.925,9.0,10.0,0,0,0,2014-03
2014-03-07,827.4461834290363,6.0,11.275,10.0,5.0,0,0,0,2014-03
2014-03-08,1173.379178112737,0.0,9.9375,6.0,,0,0,0,2014-03
2014-03-09,1446.847960507953,0.0,16.4,9.0,,0,0,0,2014-03
2014-03-10,852.0610901777795,0.0,15.8,9.0,,0,0,0,2014-03
2014-03-11,887.9159219295015,0.0,7.85,9.0,,0,0,0,2014-03
2014-03-12,842.3930250625217,0.0,10.2125,8.0,0.0,0,0,0,2014-03
2014-03-13,895.1589952708027,0.0,13.375,10.0,,0,0,0,2014-03
2014-03-14,891.026300266016,1.0,9.6125,10.0,,0,0,0,2014-03
2014-03-15,1139.863691175324,4.0,9.0375,27.0,,0,0,0,2014-03
2014-03-16,956.5634131875869,7.0,9.3375,24.0,61.0,0,0,0,2014-03
2014-03-17,830.5246723091902,7.0,9.5875,18.0,61.0,0,0,0,2014-03
2014-03-18,821.6401810236359,7.0,9.6875,16.0,21.0,0,0,0,2014-03
2014-03-19,782.1333458992243,7.0,9.45,18.0,61.0,0,0,0,2014-03
2014-03-20,924.249996257062,0.0,16.2625,13.0,,0,0,0,2014-03
2014-03-21,854.000540913451,7.0,6.8875,14.0,63.0,0,0,0,2014-03
2014-03-22,1223.6760947767984,5.0,8.85,11.0,63.0,0,0,0,2014-03
2014-03-23,1094.95086385811,4.0,8.3625,10.0,,0,0,0,2014-03
2014-03-24,942.990897995599,3.0,7.5625,7.0,,0,0,0,2014-03
2014-03-25,863.8886337911291,2.0,7.725,10.0,21.0,0,0,0,2014-03
2014-03-26,942.6452068543758,5.0,7.85,11.0,21.0,0,0,0,2014-03
2014-03-27,1066.6499110331606,6.0,5.1,12.0,,0,0,0,2014-03
2014-03-28,1113.2579566216907,8.0,5.4,12.0,10.0,0,0,0,2014-03
2014-03-29,1499.953244891842,3.0,9.375,8.0,10.0,0,0,0,2014-03
2014-03-30,1213.1806003825902,0.0,11.2625,8.0,28.0,0,0,0,2014-03
2014-03-31,992.7367025202632,7.0,7.4375,4.0,45.0,0,0,0,2014-03
2014-04-01,931.917467777197,8.0,5.7625,13.0,10.0,0,0,0,2014-04
2014-04-02,938.2316186315293,2.0,12.45,8.0,10.0,0,0,0,2014-04
2014-04-03,1004.1659239991181,3.0,7.6125,15.0,10.0,0,0,0,2014-04
2014-04-04,1019.3912888132865,6.0,6.45,15.0,0.0,0,0,0,2014-04
2014-04-05,1282.668240051562,8.0,9.825,5.0,61.0,0,0,0,2014-04
2014-04-06,1341.1764194867765,7.0,12.1875,8.0,63.0,0,0,0,2014-04
2014-04-07,1088.722413011843,7.0,15.7875,10.0,63.0,0,0,0,2014-04
2014-04-08,985.3128997323562,7.0,9.8125,19.0,61.0,0,0,0,2014-04
2014-04-09,1065.3154838625878,7.0,10.1875,20.0,21.0,0,0,0,2014-04
2014-04-10,1023.9530965661262,7.0,9.75,4.0,,0,0,0,2014-04
2014-04-11,1003.8042025802959,6.0,12.0625,10.0,,0,0,0,2014-04
2014-04-12,1552.0227333796233,4.0,11.2,12.0,0.0,0,0,0,2014-04
2014-04-13,1456.70692317268,6.0,11.0125,21.0,,0,0,0,2014-04
2014-04-14,1024.9923942836117,5.0,8.9,23.0,61.0,0,0,0,2014-04
2014-04-15,1181.2425814096964,0.0,9.9125,15.0,,0,0,0,2014-04
2014-04-16,1128.0175885162666,0.0,11.3625,9.0,,0,1,0,2014-04
2014-04-17,1544.8405310900575,5.0,14.4,14.0,,0,1,1,2014-04
2014-04-19,1690.1907503178559,1.0,11.125,13.0,5.0,0,1,1,2014-04
2014-04-20,1570.2672916617082,0.0,13.875,15.0,5.0,0,1,1,2014-04
2014-04-21,1423.5190168308948,4.0,13.425,15.0,0.0,0,1,1,2014-04
2014-04-22,1051.359115407803,3.0,15.45,10.0,10.0,0,1,0,2014-04
2014-04-23,1118.3461490901498,8.0,9.825,11.0,21.0,0,1,0,2014-04
2014-04-24,1078.7010056462882,8.0,9.175,11.0,,0,1,0,2014-04
2014-04-25,1069.1349735364709,0.0,13.5625,12.0,,0,1,0,2014-04
2014-04-26,1305.5933569360964,0.0,15.45,11.0,,0,1,0,2014-04
2014-04-27,1209.4550800269228,0.0,16.225,16.0,,0,1,0,2014-04
2014-04-28,966.1764196684778,0.0,15.8875,11.0,,0,1,0,2014-04
2014-04-29,1076.7879393199792,0.0,18.0875,8.0,0.0,0,1,0,2014-04
2014-04-30,1139.4138385103583,3.0,18.0,8.0,,0,1,0,2014-04
2014-05-02,1308.299757297924,6.0,10.225,13.0,,0,1,0,2014-05
2014-05-05,3156.4133441564672,8.0,10.7125,6.0,21.0,0,0,0,2014-05
2014-05-06,934.2573060199788,7.0,15.775,9.0,,0,0,0,2014-05
2014-05-07,795.8898966150722,4.0,14.2125,15.0,65.0,0,0,0,2014-05
2014-05-08,987.6392495906673,7.0,12.45,10.0,63.0,0,0,0,2014-05
2014-05-09,905.4409291255015,6.0,12.3875,10.0,61.0,0,0,0,2014-05
2014-05-10,1208.703992577711,7.0,13.275,12.0,61.0,0,0,0,2014-05
2014-05-11,1191.7321636599395,7.0,11.5625,12.0,63.0,0,0,0,2014-05
2014-05-12,866.5981183930757,7.0,12.7,14.0,63.0,0,0,0,2014-05
2014-05-13,942.882543311423,7.0,11.5625,15.0,21.0,0,0,0,2014-05
2014-05-14,855.6521103955415,7.0,11.5625,16.0,,0,0,0,2014-05
2014-05-15,929.1707414452105,2.0,13.7875,8.0,,0,0,0,2014-05
2014-05-16,1225.715340832408,5.0,13.8875,9.0,,0,0,0,2014-05
2014-05-17,1334.8429889037247,0.0,16.625,8.0,0.0,0,0,0,2014-05
2014-05-18,1433.5956267496504,4.0,16.5125,13.0,,0,0,0,2014-05
2014-05-19,940.4080760169333,6.0,13.7625,8.0,61.0,0,0,0,2014-05
2014-05-20,958.8899639785895,0.0,20.725,12.0,,0,0,0,2014-05
2014-05-21,890.0572010218106,2.0,26.8625,8.0,,0,0,0,2014-05
2014-05-22,925.2585946940486,0.0,26.375,8.0,,0,0,0,2014-05
2014-05-23,1033.0724935992653,7.0,18.0125,12.0,65.0,0,0,0,2014-05
2014-05-24,1224.8171504612167,2.0,17.9625,8.0,,0,0,0,2014-05
2014-05-25,1302.8807916837443,2.0,20.4625,11.0,,0,0,0,2014-05
2014-05-26,969.4869865270923,0.0,19.9625,13.0,,0,0,0,2014-05
2014-05-27,1046.1350214535028,7.0,12.8875,21.0,21.0,0,0,0,2014-05
2014-05-28,1145.507134259236,7.0,10.2,22.0,21.0,0,0,0,2014-05
2014-05-29,1592.205248427638,4.0,12.7,14.0,,0,0,0,2014-05
2014-05-30,1440.5736625679688,0.0,17.9625,13.0,,0,1,0,2014-05
2014-05-31,1529.9437706342324,3.0,15.9125,15.0,,0,0,0,2014-05
2014-06-01,1413.9232054836352,7.0,13.825,6.0,21.0,0,0,0,2014-06
2014-06-02,1140.647619906188,0.0,17.625,9.0,,0,0,0,2014-06
2014-06-03,1028.5587437543256,1.0,20.0,9.0,,0,0,0,2014-06
2014-06-04,1015.1693701610311,1.0,21.4875,14.0,,0,0,0,2014-06
