Date,Revenue,CloudCover,Temperature,WindSpeed,WeatherCode,WeatherCategory,KielWeek,holiday,Easter,id,Warengruppe,YearMonth,IsWeekend,IsNewYears,IsHalloween,DayOfYear,sin_1y,cos_1y,sin_2y,cos_2y,DayOfWeek,sin_1w,cos_1w
2013-07-17,1477.670323685468,5.0,22.5125,8.0,,1.0,0,1.0,0.0,,,2013-07,0,0,0,198,-0.2614143985111562,-0.965226663665613,0.5046482954181526,0.8633250245021008,2,0.9749279121818236,-0.22252093395631434
2013-07-18,1389.7541924313455,1.0,23.25,11.0,5.0,1.0,0,1.0,0.0,,,2013-07,0,0,0,199,-0.2779791393987801,-0.9605871111248129,0.5340463569360717,0.8454551961182272,3,0.43388373911755823,-0.900968867902419
2013-07-19,1527.0763604307554,3.0,22.475,16.0,5.0,1.0,0,1.0,0.0,,,2013-07,0,0,0,200,-0.2944616217868012,-0.9556633054034704,0.5628123335824821,0.8265847065893737,4,-0.433883739117558,-0.9009688679024191
2013-07-20,1788.2360322693241,0.0,23.1875,8.0,,1.0,0,1.0,0.0,,,2013-07,1,0,0,201,-0.3108569682435036,-0.9504567035349151,0.5909121786151564,0.8067358905889147,5,-0.9749279121818236,-0.2225209339563146
2013-07-21,1599.0157338099675,0.0,26.375,8.0,,1.0,0,1.0,0.0,,,2013-07,1,0,0,202,-0.3271603271220951,-0.9449688462364056,0.6183126337097825,0.7859322407147274,6,-0.7818314824680299,0.6234898018587334
2013-07-22,1532.438770398039,0.0,26.1,9.0,,1.0,0,1.0,0.0,,,2013-07,0,0,0,203,-0.34336687399638804,-0.939201357453208,0.6449812683237445,0.7641983796838971,0,0.0,1.0
2013-07-23,1511.4861602726614,0.0,24.95,12.0,,1.0,0,1.0,0.0,,,2013-07,0,0,0,204,-0.3594718130884232,-0.9331559438780432,0.6708865180801582,0.7415600311898435,1,0.7818314824680298,0.6234898018587336
2013-07-24,1579.1769061206978,3.0,24.075,11.0,,1.0,0,1.0,0.0,,,2013-07,0,0,0,205,-0.3754703786876202,-0.9268343944460494,0.6959977221267386,0.7180439894563502,2,0.9749279121818236,-0.22252093395631434
2013-07-25,1498.84454154252,2.0,23.0875,9.0,,1.0,0,1.0,0.0,,,2013-07,0,0,0,206,-0.3913578365610259,-0.9202385798054075,0.7202851594252706,0.6936780875245466,3,0.43388373911755823,-0.900968867902419
2013-07-26,1602.303163851975,3.0,27.2625,6.0,,1.0,0,1.0,0.0,,,2013-07,0,0,0,207,-0.4071294853542516,-0.9133704517637858,0.7437200839287408,0.6684911643103645,4,-0.433883739117558,-0.9009688679024191
2013-07-27,1758.881047587065,1.0,26.1625,10.0,,1.0,0,1.0,0.0,,,2013-07,1,0,0,208,-0.4227806579826773,-0.9062320427107697,0.7662747586044899,0.6425130304714689,5,-0.9749279121818236,-0.2225209339563146
2013-07-28,1755.8025904192964,4.0,24.8875,13.0,61.0,4.0,0,1.0,0.0,,,2013-07,1,0,0,209,-0.4383067230125192,-0.898825465016444,0.7879224882631226,0.6157744331240536,6,-0.7818314824680299,0.6234898018587334
2013-07-29,1581.050773432065,1.0,22.7875,10.0,,1.0,0,1.0,0.0,,,2013-07,0,0,0,210,-0.45370308603134424,-0.8911529104063088,0.8086376511543126,0.5883070194512693,0,0.0,1.0
2013-07-30,1600.8473293204288,5.0,21.075,13.0,21.0,3.0,0,1.0,0.0,,,2013-07,0,0,0,211,-0.46896519100763184,-0.8832166493127127,0.8283957292921138,0.5601432992463508,1,0.7818314824680298,0.6234898018587336
2013-07-31,1560.649380745598,5.0,20.275,16.0,65.0,5.0,0,1.0,0.0,,,2013-07,0,0,0,212,-0.48408852163897587,-0.8750190302029955,0.847173337473877,0.5313166064347815,2,0.9749279121818236,-0.22252093395631434
2013-08-01,1512.7538168934125,6.0,23.4,7.0,21.0,3.0,0,1.0,0.0,,,2013-08,0,0,0,213,-0.4990686026885319,-0.8665624788845385,0.8649482509584342,0.5018610596210326,3,0.43388373911755823,-0.900968867902419
2013-08-02,1537.074863033557,0.0,31.4375,7.0,,1.0,0,1.0,0.0,,,2013-08,0,0,0,214,-0.5139010013093103,-0.8578494977869301,0.8816994317707848,0.4718115217065765,4,-0.433883739117558,-0.9009688679024191
2013-08-03,2022.0929783769382,4.0,23.3625,11.0,63.0,5.0,0,1.0,0.0,,,2013-08,1,0,0,215,-0.5285813283559292,-0.8488826652214553,0.8974070536021568,0.44120355862696276,5,-0.9749279121818236,-0.2225209339563146
2013-08-04,1879.1788638421608,3.0,23.05,8.0,,1.0,0,0.0,0.0,,,2013-08,1,0,0,216,-0.5431052396834317,-0.8396646346181327,0.912052525275964,0.41007339725680436,6,-0.7818314824680299,0.6234898018587334
2013-08-05,1353.5850885584,0.0,25.8,10.0,,1.0,0,0.0,0.0,,,2013-08,0,0,0,217,-0.5574684374327892,-0.8301981337405212,0.9256185127518922,0.3784578825324888,0,0.0,1.0
2013-08-06,1486.208899835055,5.0,22.225,13.0,,1.0,0,0.0,0.0,,,2013-08,0,0,0,218,-0.5716666713027052,-0.8204859638785327,0.9380889596420647,0.3463944338433696,1,0.7818314824680298,0.6234898018587336
2013-08-07,1528.2338963920583,4.0,19.2125,8.0,,1.0,0,0.0,0.0,,,2013-08,0,0,0,219,-0.5856957398073508,-0.8105309990194823,0.9494491062150135,0.31392100074304014,2,0.9749279121818236,-0.22252093395631434
2013-08-08,1499.007507138282,7.0,16.975,12.0,20.0,3.0,0,0.0,0.0,,,2013-08,0,0,0,220,-0.5995514915196489,-0.8003361849976323,0.9596855068649522,0.2810760180331286,3,0.43388373911755823,-0.900968867902419
2013-08-09,1525.3931909835096,4.0,20.3375,10.0,21.0,3.0,0,0.0,0.0,,,2013-08,0,0,0,221,-0.6132298262997502,-0.7899045386224707,0.968786046025684,0.24789836027275647,4,-0.433883739117558,-0.9009688679024191
2013-08-10,1662.2804720349804,7.0,19.3625,12.0,61.0,4.0,0,0.0,0.0,,,2013-08,1,0,0,222,-0.6267266965083301,-0.7792391467859886,0.9767399525103048,0.21442729576751102,5,-0.9749279121818236,-0.2225209339563146
2013-08-11,1725.3536746947912,7.0,16.3875,9.0,61.0,4.0,0,0.0,0.0,,,2013-08,1,0,0,223,-0.6400381082043503,-0.7683431655492202,0.9835378122597296,0.18070244009239297,6,-0.7818314824680299,0.6234898018587334
2013-08-12,1371.9141698482772,7.0,16.45,11.0,63.0,5.0,0,0.0,0.0,,,2013-08,0,0,0,224,-0.65316012232693,-0.7572198192083127,0.9891715794849547,0.14676370920373963,0,0.0,1.0
2013-08-13,1399.566054030156,3.0,16.4,16.0,95.0,7.0,0,0.0,0.0,,,2013-08,0,0,0,225,-0.666088855860977,-0.7458723993404063,0.993634586189866,0.11265127219562909,1,0.7818314824680298,0.6234898018587336
2013-08-14,1533.033368518948,4.0,18.2625,18.0,61.0,4.0,0,0.0,0.0,,,2013-08,0,0,0,226,-0.6788204829862355,-0.734304263829602,0.9969215500633253,0.07840550375666766,2,0.9749279121818236,-0.22252093395631434
2013-08-15,1445.936606987924,3.0,19.8,8.0,,1.0,0,0.0,0.0,,,2013-08,0,0,0,227,-0.6913512362094071,-0.722518835873311,0.9990285807311906,0.044066936383449135,3,0.43388373911755823,-0.900968867902419
2013-08-16,1361.4457786798198,4.0,23.575,11.0,0.0,1.0,0,0.0,0.0,,,2013-08,0,0,0,228,-0.7036774074790128,-0.7105196029692745,0.999953184360873,0.009676212407230897,4,-0.433883739117558,-0.9009688679024191
2013-08-17,1701.8221409441326,6.0,20.55,7.0,0.0,1.0,0,0.0,0.0,,,2013-08,1,0,0,229,-0.7157953492826642,-0.6983101158835584,0.9996942666129788,-0.024725964109382385,5,-0.9749279121818236,-0.2225209339563146
2013-08-18,1673.897714730906,7.0,18.5875,10.0,63.0,5.0,0,0.0,0.0,,,2013-08,1,0,0,230,-0.7277014757264236,-0.6858939875998223,0.9982521339365441,-0.0590988755488295,6,-0.7818314824680299,0.6234898018587334
2013-08-19,1376.837922891106,5.0,18.4875,8.0,,1.0,0,0.0,0.0,,,2013-08,0,0,0,231,-0.7393922635959241,-0.673274892250183,0.9956284932063294,-0.09340183893100905,0,0.0,1.0
2013-08-20,1252.7861094515642,7.0,17.775,8.0,61.0,4.0,0,0.0,0.0,,,2013-08,0,0,0,232,-0.7508642533989489,-0.6604565640279754,0.9918264497026016,-0.12759425406472188,1,0.7818314824680298,0.6234898018587336
2013-08-21,1255.9019374005727,5.0,20.125,8.0,,1.0,0,0.0,0.0,,,2013-08,0,0,0,233,-0.7621140503891487,-0.6474427960827475,0.9868505034357966,-0.16163565160110782,2,0.9749279121818236,-0.22252093395631434
2013-08-22,1314.464436931448,4.0,21.6625,8.0,,1.0,0,0.0,0.0,,,2013-08,0,0,0,234,-0.7731383255706026,-0.6342374393978054,0.9807065438204117,-0.1954857409322303,3,0.43388373911755823,-0.900968867902419
2013-08-23,1397.1021019374625,1.0,22.0375,14.0,,1.0,0,0.0,0.0,,,2013-08,0,0,0,235,-0.7839338166829201,-0.620844401650647,0.973401842704431,-0.22910445787810024,4,-0.433883739117558,-0.9009688679024191
2013-08-24,1852.823512770426,0.0,20.85,16.0,5.0,1.0,0,0.0,0.0,,,2013-08,1,0,0,236,-0.7944973291665992,-0.6072676460566135,0.9649450457625344,-0.2624520121057191,5,-0.9749279121818236,-0.2225209339563146
2013-08-25,1806.35854658638,0.0,21.3875,16.0,5.0,1.0,0,0.0,0.0,,,2013-08,1,0,0,237,-0.8048257371083452,-0.593511190196115,0.9553461622632788,-0.29548893422398215,6,-0.7818314824680299,0.6234898018587334
2013-08-26,1335.476770356454,0.0,20.125,15.0,5.0,1.0,0,0.0,0.0,,,2013-08,0,0,0,238,-0.8149159841660791,-0.5795791048257612,0.9446165532223606,-0.3281761224987386,0,0.0,1.0
2013-08-27,1206.9568569172761,1.0,21.0875,12.0,,1.0,0,0.0,0.0,,,2013-08,0,0,0,239,-0.8247650844733614,-0.5654755126737576,0.9327689179559782,-0.3604748891327019,1,0.7818314824680298,0.6234898018587336
2013-08-28,1189.9601463547679,0.0,21.3,7.0,,1.0,0,0.0,0.0,,,2013-08,0,0,0,240,-0.8343701235229537,-0.5512045872199277,0.9198172790502196,-0.3923470060554182,2,0.9749279121818236,-0.22252093395631434
2013-08-29,1226.9744435244093,3.0,20.2125,11.0,,1.0,0,0.0,0.0,,,2013-08,0,0,0,241,-0.8437282590292712,-0.5367705514607103,0.9057769657642539,-0.42375475016912983,3,0.43388373911755823,-0.900968867902419
2013-08-30,1230.8254219210733,6.0,19.7875,8.0,5.0,1.0,0,0.0,0.0,,,2013-08,0,0,0,242,-0.8528367217694595,-0.522177676659508,0.8906645958869751,-0.4546609479969567,4,-0.433883739117558,-0.9009688679024191
2013-08-31,1407.8270071434235,5.0,18.35,16.0,21.0,3.0,0,0.0,0.0,,,2013-08,1,0,0,243,-0.8616928164028521,-0.5074302810827518,0.8744980560685747,-0.48502901968055895,5,-0.9749279121818236,-0.2225209339563146
2013-09-01,1357.25258961663,7.0,15.8625,16.0,61.0,4.0,0,0.0,0.0,,,2013-09,1,0,0,244,-0.8702939222685674,-0.49253272872205434,0.8572964806503138,-0.5148230222752145,6,-0.7818314824680299,0.6234898018587334
2013-09-02,987.9570966616532,7.0,16.575,17.0,63.0,5.0,0,0.0,0.0,,,2013-09,0,0,0,245,-0.8786374941610001,-0.4774894280028391,0.8390802290175676,-0.5440076922910431,0,0.0,1.0
2013-09-03,1007.9367383256798,7.0,18.225,11.0,21.0,3.0,0,0.0,0.0,,,2013-09,0,0,0,246,-0.886721063082993,-0.46230483047981086,0.8198708615029215,-0.5725484874300667,1,0.7818314824680298,0.6234898018587336
2013-09-04,1036.3492750385099,7.0,18.125,5.0,,1.0,0,0.0,0.0,,,2013-09,0,0,0,247,-0.8945422369764496,-0.4469834295196741,0.7996911138678691,-0.600411627469661,2,0.9749279121818236,-0.22252093395631434
2013-09-05,1104.1439817470637,0.0,21.7,8.0,,1.0,0,0.0,0.0,,,2013-09,0,0,0,248,-0.9020987014301837,-0.43152975897147144,0.7785648703932891,-0.6275641342440474,3,0.43388373911755823,-0.900968867902419
2013-09-06,1137.1523677303987,0.0,24.7,9.0,,1.0,0,0.0,0.0,,,2013-09,0,0,0,249,-0.9093882203647925,-0.4159483918249421,0.756517135610563,-0.6539738706764888,4,-0.433883739117558,-0.9009688679024191
2013-09-07,1505.9011969610501,6.0,22.7625,7.0,,1.0,0,0.0,0.0,,,2013-09,1,0,0,250,-0.9164086366943458,-0.4002439388573056,0.733574004706797,-0.6796095788159788,5,-0.9749279121818236,-0.2225209339563146
2013-09-08,1496.3184718677348,7.0,20.1625,8.0,61.0,4.0,0,0.0,0.0,,,2013-09,1,0,0,251,-0.9231578729647039,-0.38442104726885545,0.709762632639161,-0.7044409168334328,6,-0.7818314824680299,0.6234898018587334
2013-09-09,1002.2125915332035,8.0,11.575,11.0,63.0,5.0,0,0.0,0.0,,,2013-09,0,0,0,252,-0.9296339319682695,-0.3684843993077793,0.6851112019949135,-0.72843849493357,0,0.0,1.0
2013-09-10,987.4006905061897,6.0,13.5875,11.0,65.0,5.0,0,0.0,0.0,,,2013-09,0,0,0,253,-0.9358348973349941,-0.35243871088460327,0.6596488896351408,-0.7515739101399981,1,0.7818314824680298,0.6234898018587336
2013-09-11,961.6294394395425,6.0,13.9,8.0,61.0,4.0,0,0.0,0.0,,,2013-09,0,0,0,254,-0.9417589340994617,-0.33628873017668287,0.6334058321617086,-0.7738197799123084,2,0.9749279121818236,-0.22252093395631434
2013-09-12,960.9185525439016,6.0,16.1125,6.0,61.0,4.0,0,0.0,0.0,,,2013-09,0,0,0,255,-0.9474042892438845,-0.32003923622313857,0.6064130902482765,-0.7951497745554202,3,0.43388373911755823,-0.900968867902419
2013-09-13,1044.4131932524783,6.0,17.4375,5.0,21.0,3.0,0,0.0,0.0,,,2013-09,0,0,0,256,-0.9527692922168511,-0.30369503751065885,0.578702611877601,-0.8155386483827991,4,-0.433883739117558,-0.9009688679024191
2013-09-14,1388.0032063371368,5.0,17.625,10.0,63.0,5.0,0,0.0,0.0,,,2013-09,1,0,0,257,-0.9578523554276669,-0.28726097055059635,0.5503071945286527,-0.8349622695966589,5,-0.9749279121818236,-0.2225209339563146
2013-09-15,1268.8126467225404,7.0,14.8625,10.0,21.0,3.0,0,0.0,0.0,,,2013-09,1,0,0,258,-0.9626519747161487,-0.2707418984477642,0.5212604463582784,-0.8533976488498011,6,-0.7818314824680299,0.6234898018587334
2013-09-16,960.0831498039095,3.0,13.1375,13.0,21.0,3.0,0,0.0,0.0,,,2013-09,0,0,0,259,-0.9671667297977312,-0.2541427094613622,0.4915967464233612,-0.8708229664552752,0,0.0,1.0
2013-09-17,987.3440321601655,5.0,13.1375,10.0,63.0,5.0,0,0.0,0.0,,,2013-09,0,0,0,260,-0.97139528468375,-0.23746831555846842,0.461351203990578,-0.8872175982116474,1,0.7818314824680298,0.6234898018587336
2013-09-18,958.5633732228488,4.0,13.05,9.0,,1.0,0,0.0,0.0,,,2013-09,0,0,0,261,-0.9753363880767837,-0.2207236509605022,0.4305596169818739,-0.9025621398133328,2,0.9749279121818236,-0.22252093395631434
2013-09-19,995.0860624572204,5.0,14.8375,11.0,63.0,5.0,0,0.0,0.0,,,2013-09,0,0,0,262,-0.9789888737409319,-0.20391367068311472,0.3992584296048835,-0.9168384298170765,3,0.43388373911755823,-0.900968867902419
2013-09-20,1070.2218759478337,7.0,13.525,6.0,,1.0,0,0.0,0.0,,,2013-09,0,0,0,263,-0.9823516608469237,-0.18704334906991657,0.3674846892184069,-0.9300295711374187,4,-0.433883739117558,-0.9009688679024191
2013-09-21,1299.6943900674814,7.0,15.35,9.0,,1.0,0,0.0,0.0,,,2013-09,1,0,0,264,-0.9854237542919524,-0.17011767832049052,0.3352760024840169,-0.9421199510456922,5,-0.9749279121818236,-0.2225209339563146
2013-09-22,1344.3393186626458,6.0,17.1375,14.0,21.0,3.0,0,0.0,0.0,,,2013-09,1,0,0,265,-0.9882042449941422,-0.15314166701312007,0.30267049085568926,-0.9530952596488853,6,-0.7818314824680299,0.6234898018587334
2013-09-23,932.4657789829656,7.0,17.3125,14.0,21.0,3.0,0,0.0,0.0,,,2013-09,0,0,0,266,-0.9906923101615609,-0.13612033862266704,0.2697067454601279,-0.962942506826501,0,0.0,1.0
2013-09-24,914.6742223348679,8.0,15.7375,10.0,,1.0,0,0.0,0.0,,,2013-09,0,0,0,267,-0.9928872135356962,-0.11905873003404988,0.23642378142121298,-0.9716500376053585,1,0.7818314824680298,0.6234898018587336
2013-09-25,966.9209453477747,6.0,13.5375,7.0,61.0,4.0,0,0.0,0.0,,,2013-09,0,0,0,268,-0.994788305609327,-0.10196189005174576,0.2028609916826013,-0.9792075459541514,2,0.9749279121818236,-0.22252093395631434
2013-09-26,1004.2437101233693,1.0,12.9875,12.0,,1.0,0,0.0,0.0,,,2013-09,0,0,0,269,-0.9963950238187231,-0.08483487790576538,0.16905810038314714,-0.9856060869814277,3,0.43388373911755823,-0.900968867902419
2013-09-27,952.7399318195729,5.0,13.0125,8.0,21.0,3.0,0,0.0,0.0,,,2013-09,0,0,0,270,-0.9977068927101168,-0.06768276175455162,0.13505511584034569,-0.9908380875225532,4,-0.433883739117558,-0.9009688679024191
2013-09-28,1350.0529134563583,0.0,13.1,8.0,,1.0,0,0.0,0.0,,,2013-09,1,0,0,271,-0.9987235240803972,-0.050510617185222886,0.10089228319740334,-0.9948973551031357,5,-0.9749279121818236,-0.2225209339563146
2013-09-29,1220.5425667105287,3.0,14.175,12.0,,1.0,0,0.0,0.0,,,2013-09,1,0,0,272,-0.9994446170919858,-0.033323525711631344,0.06661003679003268,-0.9977790852682925,6,-0.7818314824680299,0.6234898018587334
2013-09-30,1088.6628318742476,1.0,12.825,14.0,,1.0,0,0.0,0.0,,,2013-09,0,0,0,273,-0.9998699583618592,-0.016126573270657762,0.0322489522893041,-0.9994798672690922,0,0.0,1.0
2013-10-01,1035.0741960123707,0.0,12.9125,13.0,5.0,1.0,0,0.0,0.0,,,2013-10,0,0,0,274,-0.9999994220246925,0.001075151282798226,-0.0021503013227746654,-0.9999976880994382,1,0.7818314824680298,0.6234898018587336
2013-10-02,1219.5683746591899,1.0,12.7,10.0,,1.0,0,0.0,0.0,,,2013-10,0,0,0,275,-0.999832969770105,0.018276557681691223,-0.03654700988811993,-0.9993319348786156,2,0.9749279121818236,-0.22252093395631434
2013-10-03,1449.987021613767,0.0,11.7625,12.0,5.0,1.0,0,0.0,0.0,,,2013-10,0,0,0,276,-0.9993706508539969,0.03547255575312556,-0.07090046226091157,-0.9974833955766828,3,0.43388373911755823,-0.900968867902419
2013-10-04,1192.034068278957,5.0,11.2,8.0,63.0,5.0,0,1.0,0.0,,,2013-10,0,0,0,277,-0.9986126020839734,0.052658056924614005,-0.10516999849234956,-0.9944542580818482,4,-0.433883739117558,-0.9009688679024191
2013-10-05,1303.8838669989625,7.0,15.575,8.0,20.0,3.0,0,1.0,0.0,,,2013-10,1,0,0,278,-0.9975590477788613,0.06982797572987089,-0.1393150579548309,-0.9902481076109372,5,-0.9749279121818236,-0.2225209339563146
2013-10-06,1323.0779850281535,7.0,15.25,6.0,,1.0,0,1.0,0.0,,,2013-10,1,0,0,279,-0.9962102997023297,0.0869772313136861,-0.17329522734857217,-0.9848699224660111,6,-0.7818314824680299,0.6234898018587334
2013-10-07,1032.7783396125972,1.0,16.275,7.0,,1.0,0,1.0,0.0,,,2013-10,0,0,0,280,-0.9945667569706337,0.1041007489354256,-0.20707028853384077,-0.9783260681421669,0,0.0,1.0
2013-10-08,920.066699108027,6.0,15.1125,8.0,61.0,4.0,0,1.0,0.0,,,2013-10,0,0,0,281,-0.9926289059345095,0.121193461470736,-0.2406002661322256,-0.9706242897934825,1,0.7818314824680298,0.6234898018587336
2013-10-09,1035.1309532188438,7.0,14.3125,10.0,21.0,3.0,0,1.0,0.0,,,2013-10,0,0,0,282,-0.9903973200352558,0.1382503109109819,-0.2738454748405547,-0.9617737030660337,2,0.9749279121818236,-0.22252093395631434
2013-10-10,963.0647997754841,5.0,10.975,6.0,,1.0,0,1.0,0.0,,,2013-10,0,0,0,283,-0.9878726596350429,0.15526624985999563,-0.30676656640150596,-0.9517847833088269,3,0.43388373911755823,-0.900968867902419
2013-10-11,942.7444736561224,7.0,13.8625,20.0,10.0,1.0,0,1.0,0.0,,,2013-10,0,0,0,284,-0.9850556718215013,0.172236243027682,-0.3393245761752893,-0.9406693531754186,4,-0.433883739117558,-0.9009688679024191
2013-10-12,1129.137465971895,8.0,13.025,21.0,63.0,5.0,0,1.0,0.0,,,2013-10,1,0,0,285,-0.981947190186646,0.18915526872004093,-0.37148096925728835,-0.9284405686308982,5,-0.9749279121818236,-0.2225209339563146
2013-10-13,1080.0464069199502,5.0,10.8625,5.0,,1.0,0,1.0,0.0,,,2013-10,1,0,0,286,-0.9785481345802031,0.20601832032517084,-0.40319768608708534,-0.9151129033807907,6,-0.7818314824680299,0.6234898018587334
2013-10-14,916.6677541944355,2.0,12.525,6.0,,1.0,0,1.0,0.0,,,2013-10,0,0,0,287,-0.9748595108374125,0.22282040779479959,-0.4344371874948622,-0.9007021317403184,0,0.0,1.0
2013-10-15,925.6010830449741,7.0,10.6625,4.0,63.0,5.0,0,1.0,0.0,,,2013-10,0,0,0,288,-0.9708824104813836,0.23955655912092708,-0.46516249913190355,-0.8852253099642835,1,0.7818314824680298,0.6234898018587336
2013-10-16,994.0460487740608,8.0,12.275,7.0,,1.0,0,1.0,0.0,,,2013-10,0,0,0,289,-0.9666180104000972,0.2562218218071163,-0.49533725523256594,-0.8687007560596847,2,0.9749279121818236,-0.22252093395631434
2013-10-17,883.4950863629008,7.0,12.0,15.0,65.0,5.0,0,1.0,0.0,,,2013-10,0,0,0,290,-0.9620675724981452,0.27281126433401914,-0.5249257416559593,-0.8511480281049478,3,0.43388373911755823,-0.900968867902419
2013-10-18,947.0985668945707,1.0,9.075,9.0,,1.0,0,1.0,0.0,,,2013-10,0,0,0,291,-0.957232443323312,0.28931997761869527,-0.5538929381563792,-0.8325879011014353,4,-0.433883739117558,-0.9009688679024191
2013-10-19,1062.920368941858,7.0,9.45,9.0,,1.0,0,0.0,0.0,,,2013-10,1,0,0,292,-0.9521140536681102,0.3057430764672831,-0.5822045598324479,-0.8130423423846421,5,-0.9749279121818236,-0.2225209339563146
2013-10-20,1046.0775401777223,7.0,15.1875,8.0,21.0,3.0,0,0.0,0.0,,,2013-10,1,0,0,293,-0.9467139181463862,0.3220757010206104,-0.6098270977059321,-0.7925344856241648,6,-0.7818314824680299,0.6234898018587334
2013-10-21,852.7855280984027,7.0,14.2625,8.0,61.0,4.0,0,0.0,0.0,,,2013-10,0,0,0,294,-0.9410336347451197,0.3383130181923076,-0.6367278583821979,-0.7710886034432227,0,0.0,1.0
2013-10-22,956.7944758371692,2.0,17.6375,7.0,,1.0,0,0.0,0.0,,,2013-10,0,0,0,295,-0.9350748843515574,0.3544502230989869,-0.6628750027453377,-0.7487300786901568,1,0.7818314824680298,0.6234898018587336
2013-10-23,958.0694758951811,6.0,17.675,9.0,,1.0,0,0.0,0.0,,,2013-10,0,0,0,296,-0.9288394302558068,0.3704825404820963,-0.6882375836422284,-0.7254853743958638,2,0.9749279121818236,-0.22252093395631434
2013-10-24,1010.5301005647036,5.0,12.6875,12.0,61.0,4.0,0,0.0,0.0,,,2013-10,0,0,1,297,-0.9223291176290545,0.3864052261209853,-0.7127855825108473,-0.7013820024527804,3,0.43388373911755823,-0.900968867902419
2013-10-25,954.728693015921,7.0,11.8875,7.0,61.0,4.0,0,0.0,0.0,,,2013-10,0,0,1,298,-0.9155458729775467,0.40221356823680365,-0.7364899449095569,-0.6764484910524362,4,-0.433883739117558,-0.9009688679024191
